city,location,region,bhk,total_sqft,property_type,availability,price
Mumbai,Tharwani Meghna Montana,Ambernath West,1.0,812.0,Apartment,Under Construction,37.0
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1012.0,Apartment,Under Construction,47.92
Mumbai,Dev Drashti Empire Phase 1,Bhiwandi,1.0,740.0,Apartment,Ready to move,39.22
Mumbai,Dev Drashti Empire Phase 1,Bhiwandi,2.0,1045.0,Apartment,Ready to move,55.38
Mumbai,Dev Drashti Empire Phase 1,Bhiwandi,1.0,690.0,Apartment,Ready to move,36.57
Mumbai,Dev Drashti Empire Phase 1,Bhiwandi,2.0,1085.0,Apartment,Ready to move,57.5
Mumbai,Dev Drashti Empire Phase 1,Bhiwandi,2.0,1060.0,Apartment,Ready to move,56.18
Mumbai,Dev Drashti Empire Phase 1,Bhiwandi,1.0,795.0,Apartment,Ready to move,42.13
Mumbai,B G Shirke Monte Verita West Tower,Borivali East,1.0,384.0,Apartment,Under Construction,91.01
Mumbai,B G Shirke Monte Verita West Tower,Borivali East,2.0,558.0,Apartment,Under Construction,132.0
Mumbai,B G Shirke Monte Verita West Tower,Borivali East,2.0,557.0,Apartment,Under Construction,132.0
Mumbai,B G Shirke Monte Verita West Tower,Borivali East,2.0,618.0,Apartment,Under Construction,146.0
Mumbai,Walekar Homes,Ambernath West,1.0,501.0,Apartment,Ready to move,29.5
Mumbai,Walekar Homes,Ambernath West,1.0,399.0,Apartment,Ready to move,24.5
Mumbai,Walekar Homes,Ambernath West,1.0,440.0,Apartment,Ready to move,26.5
Mumbai,Walekar Homes,Ambernath West,2.0,635.0,Apartment,Ready to move,36.5
Mumbai,Walekar Homes,Ambernath West,2.0,569.0,Apartment,Ready to move,33.0
Mumbai,Walekar Homes,Ambernath West,1.0,464.0,Apartment,Ready to move,27.5
Mumbai,Walekar Homes,Ambernath West,1.0,422.0,Apartment,Ready to move,26.0
Mumbai,Ravechi Shreeji Divine,Kharghar,2.0,937.0,Apartment,Under Construction,135.0
Mumbai,Ravechi Shreeji Divine,Kharghar,2.0,945.0,Apartment,Under Construction,144.0
Mumbai,Ravechi Shreeji Divine,Kharghar,5.0,2135.0,Apartment,Under Construction,314.0
Mumbai,Ravechi Shreeji Divine,Kharghar,3.0,1198.0,Apartment,Under Construction,179.0
Mumbai,Ravechi Shreeji Divine,Kharghar,6.0,2396.0,Apartment,Under Construction,359.0
Mumbai,Ravechi Shreeji Divine,Kharghar,3.0,1698.0,Apartment,Under Construction,248.0
Mumbai,Neelkanth Auris,Panvel,3.0,895.0,Apartment,Under Construction,142.0
Mumbai,Neelkanth Auris,Panvel,2.0,601.0,Apartment,Under Construction,97.92
Mumbai,Shree Krupa Nandanvan Homes Building B,Thane West,2.0,679.0,Apartment,Under Construction,124.0
Mumbai,Shree Krupa Nandanvan Homes Building B,Thane West,3.0,887.0,Apartment,Under Construction,187.0
Mumbai,Sri Garden Avenue K,Virar,2.0,692.0,Apartment,Under Construction,53.0
Mumbai,Sri Garden Avenue K,Virar,1.0,487.0,Apartment,Under Construction,36.99
Mumbai,Tajjodin Taj Regency,Kamothe,1.0,515.0,Apartment,Under Construction,75.0
Mumbai,Avant Heritage III,Jogeshwari East,1.0,427.0,Apartment,Under Construction,102.0
Mumbai,Avant Heritage III,Jogeshwari East,1.0,380.0,Apartment,Under Construction,91.2
Mumbai,Avant Heritage III,Jogeshwari East,2.0,517.0,Apartment,Under Construction,124.0
Mumbai,Reputed Builder Wild Wood Park 2,Andheri West,1.0,651.0,Apartment,Ready to move,20.0
Mumbai,Squarefeet Sarvoday Square,Ambernath West,2.0,1000.0,Apartment,Ready to move,32.0
Mumbai,Shreeji Darshan,Ulwe,2.0,950.0,Apartment,Under Construction,80.0
Mumbai,Abhinandan Cloris,Kewale,2.0,950.0,Apartment,Under Construction,55.0
Mumbai,Reputed Builder Wild Wood Park 2,Andheri West,1.0,650.0,Apartment,Ready to move,20.0
Mumbai,Reputed Builder Emerald Apartments,Santacruz East,4.0,2100.0,Apartment,Ready to move,325.0
Mumbai,Paradise Sai World Dreams Phase 1,Dombivali,1.0,720.0,Apartment,Under Construction,47.0
Mumbai,Bhoomi New vandana CHSL,Borivali East,3.0,1530.0,Apartment,Ready to move,285.0
Mumbai,Crystal Bharat Residency,Nala Sopara,1.0,560.0,Apartment,Ready to move,25.0
Mumbai,Avant Hillway,Goregaon East,1.0,400.0,Apartment,Under Construction,79.8
Mumbai,Fia Orion,Palghar,1.0,530.0,Apartment,Ready to move,22.79
Mumbai,SS Balaji Krishna,Dombivali,2.0,920.0,Apartment,Under Construction,65.0
Mumbai,Qualitas QN Heights,Taloja,1.0,550.0,Apartment,Ready to move,25.0
Mumbai,Aditi Seven Heights,Boisar,1.0,650.0,Apartment,Under Construction,20.0
Mumbai,SD Epsilon,Kandivali East,4.0,1500.0,Apartment,Ready to move,560.0
Mumbai,Crystal Bharat Residency,Nala Sopara,1.0,520.0,Apartment,Ready to move,25.0
Mumbai,Lodha Codename Crown Jewel,Thane West,1.0,453.0,Apartment,Ready to move,85.0
Mumbai,Zoeb Aayesha Palace,Parel,1.0,650.0,Apartment,Ready to move,100.0
Mumbai,HDIL Galaxy Apartments,Kurla,2.0,920.0,Apartment,Ready to move,110.0
Mumbai,Shreeji Bhakti Park,Thane West,1.0,570.0,Apartment,Ready to move,55.0
Mumbai,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,1.0,750.0,Apartment,Ready to move,45.0
Mumbai,HG Sai Tulip,Taloja,2.0,500.0,Apartment,Ready to move,10.0
Mumbai,Proviso SaiProviso County,Panvel,1.0,677.0,Apartment,Ready to move,30.0
Mumbai,Proviso SaiProviso County,Panvel,1.0,650.0,Apartment,Under Construction,35.0
